abaft
abate
abets
adieu
adman
afoul
agave
allot
amahs
amass
amble
annex
aphis
appro
assay
atone
auger
avows
baccy
bails
bally
bandy
bandy
barge
baser
beano
beard
beaut
becks
begot
belch
besom
biros
bleep
blowy
blunt
boded
bolts
booed
braid
brand
brave
brews
brill
bruin
bully
bunch
buoys
bused
byres
caber
cacao
calla
carps
cavil
ceded
chalk
champ
cheek
chime
chive
chops
chuck
cleft
clerk
cline
clips
clips
clout
clown
clump
codas
compo
cont.
corer
cough
couth
covet
cower
coypu
cramp
crank
craps
crimp
croak
culls
cumin
curbs
cuter
darns
daubs
deism
demob
diced
dicey
dolts
dooms
dosed
douse
dozes
duped
dwarf
ebbed
egret
elope
ewers
exits
extol
fares
fawns
feted
fiefs
flail
fleck
flops
flout
foams
forte
foxes
frizz
fucks
fudge
fulls
fumed
galas
gammy
gapes
gasps
gassy
genii
glean
glebe
glint
gloat
gluey
gluts
goads
gouge
graft
grate
grubs
gushy
hacks
haiku
hails
haulm
hazed
hazes
hiked
hinge
homed
homos
honed
hones
hooey
hound
hunch
husky
imams
inapt
jests
joins
junks
kappa
knits
largo
lauds
leafs
lever
liana
lilos
lobby
lolls
loped
lopes
lotto
lough
lunge
lutes
maces
magus
mails
mambo
mazed
micks
mimed
mimes
minim
mocha
mooch
mowed
muzak
neaps
nicks
nonce
oiler
okapi
orate
oxeye
paled
panel
panto
paras
pared
paves
peaky
pekes
peons
perms
pilaf
pined
pines
pinta
pipit
plebs
plonk
plonk
plonk
plops
plumb
poled
polls
poofs
popsy
poser
poss.
preen
prize
puffs
pulps
pumas
purrs
pursy
putti
quash
quiff
quits
racks
rails
rasps
raved
rawly
razed
rearm
recap
reeve
refit
relay
remit
rerun
retch
reuse
rhino
rhyme
rifle
rinks
roams
rosin
rowdy
runes
sacks
salts
salve
sassy
scads
scald
scarp
scoff
scold
scoot
scram
scuff
scurf
shame
shoal
shore
sieve
skimp
skirl
slaty
sling
slink
slots
slyer
smart
smelt
smogs
snaky
snarl
snick
snore
snort
sober
soils
spank
spear
spins
squib
stash
steam
steer
stews
stomp
strap
stuns
stunt
suety
sully
surfs
swamp
swaps
swaps
swede
swigs
tally
talus
tames
taper
tarry
tenon
thane
thumb
titty
totes
troop
troth
trots
tuner
tweak
tweet
twirl
twits
umber
unify
unzip
vided
viols
virtu
wager
waive
warps
waxes
weals
whang
whoso
wipes
withy
wolds
wolfs
wooer
xerox
xerox
yobbo
yogis
zooms
abate
allot
amass
amble
annex
atone
bandy
barge
beard
begot
belch
blunt
boded
booed
braid
brand
brave
brill
bunch
bused
cavil
ceded
chalk
cheek
chime
cleft
clerk
clout
clown
clump
cough
covet
cower
coypu
cramp
crank
crimp
croak
diced
dosed
douse
duped
dwarf
ebbed
elope
extol
feted
flail
flout
fudge
fumed
glean
glint
gloat
gouge
graft
grate
haiku
hazed
hiked
hinge
homed
honed
hound
hunch
lever
lobby
loped
lunge
mimed
mooch
mowed
okapi
orate
paled
panel
pared
pined
plonk
plumb
poled
preen
prize
quash
raved
razed
rearm
relay
remit
retch
reuse
rhino
rhyme
rifle
salve
scald
scoot
scram
scuff
shame
shoal
shore
sieve
skimp
sling
slink
smart
smelt
snarl
snore
snort
sober
spear
stash
steam
stomp
strap
stunt
sully
swamp
tally
taper
tarry
thumb
troop
tweak
twirl
unify
unzip
vided
wager
waive
xerox
abate
allot
amass
amble
annex
atone
bandy
barge
beard
begot
belch
blunt
boded
booed
braid
brand
brave
bunch
bused
cavil
ceded
chalk
cheek
chime
cleft
clerk
clout
clown
clump
cough
covet
cower
cramp
crank
crimp
croak
diced
dosed
douse
duped
dwarf
ebbed
elope
extol
feted
flail
flout
fudge
fumed
glean
glint
gloat
gouge
graft
grate
hazed
hiked
hinge
homed
honed
hound
hunch
lever
lobby
loped
lunge
mimed
mooch
mowed
orate
paled
panel
pared
pined
plonk
plumb
poled
preen
prize
quash
raved
razed
rearm
relay
remit
retch
reuse
rhyme
rifle
salve
scald
scoot
scram
scuff
shame
shoal
shore
sieve
skimp
sling
slink
smart
snarl
snore
snort
sober
spear
stash
steam
stomp
strap
stunt
sully
swamp
tally
taper
tarry
thumb
troop
tweak
twirl
unify
unzip
vided
wager
waive
xerox
abate
allot
amass
amble
annex
atone
bandy
barge
beard
begot
belch
blunt
boded
booed
braid
brand
brave
bunch
bused
cavil
ceded
chalk
cheek
chime
cleft
clerk
clout
clown
clump
cough
covet
cower
cramp
crank
crimp
croak
diced
dosed
douse
duped
dwarf
ebbed
elope
extol
feted
flail
flout
fudge
fumed
glean
glint
gloat
gouge
graft
grate
hazed
hiked
hinge
homed
honed
hound
hunch
lever
lobby
loped
lunge
mimed
mooch
mowed
orate
paled
panel
pared
pined
plonk
plumb
poled
preen
prize
quash
raved
razed
rearm
relay
remit
retch
reuse
rhyme
rifle
salve
scald
scoot
scram
scuff
shame
shoal
shore
sieve
skimp
sling
slink
smart
snarl
snore
snort
sober
spear
stash
steam
stomp
strap
stunt
sully
swamp
tally
taper
tarry
thumb
troop
tweak
twirl
unify
unzip
vided
wager
waive
xerox
boded
booed
bused
ceded
cleft
diced
dosed
duped
ebbed
feted
fumed
hazed
hiked
homed
honed
loped
mimed
mowed
paled
pared
pined
poled
raved
razed
vided
abhor
abler
abort
alias
align
altos
amble
anent
appal
astir
autos
bards
barks
basks
bebop
beget
belie
bests
betel
bevel
bight
bitch
blind
blots
bosky
boxed
brake
butch
bylaw
canst
chant
charm
chews
chirp
chugs
churn
clamp
claps
coach
cooed
copes
cords
crams
creak
cribs
culls
curio
dawns
deign
dells
delve
dingo
ditch
djinn
doggo
doped
draft
drape
drool
dulls
dunce
elver
endow
ensue
envoy
epics
erred
evict
exact
exalt
exude
farts
fawns
filet
flirt
flock
floes
flush
flyby
fogey
fools
foots
forks
frump
gaffs
galls
gapes
genii
glaze
gleam
gloss
goers
goner
gores
groom
grope
growl
guava
gulps
gyros
harks
harpy
heaps
hoard
honks
horsy
houri
infra
irked
ivied
jakes
jemmy
jingo
kayak
keyed
kikes
krona
kukri
laths
leery
lexis
lobed
loins
loony
lurch
magma
massy
middy
mikes
mills
mitre
modal
muses
nests
ninny
nosed
oboes
opals
outdo
ovoid
owlet
pales
palmy
pedal
peeps
phlox
plumb
polyp
pommy
poppa
posit
pried
prigs
prods
pulls
quake
quark
query
quoit
rants
raves
reels
rends
revel
rheum
riffs
rives
robed
roofs
routs
ruddy
rummy
sated
savvy
sawed
scour
scowl
scrag
senna
shear
shell
shied
shine
shush
shyer
sidle
skiff
skims
skint
skips
skunk
slave
slays
slims
slips
slosh
slunk
smuts
snake
snook
sowed
spake
spark
spied
spunk
spurs
steep
sties
sties
stink
strew
strop
strut
sumac
surge
techs
telex
tibia
toady
toast
toffs
toned
tones
tramp
trims
tunes
twirl
tyros
usher
